49,MUEQUITA NISTEL,2009,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
50,NICARAGUA,2006,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
51,ONDA CHIC,2011,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
52,PERISTALTICA,2006,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
53,PERUGIA EMPER,2011,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
54,POLACCA,2016,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
55,PORRERA,2021,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
56,POTRI JAZZ,2006,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
57,PUSSYCAT DOLL,2008,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
58,QUEEN SLAM,2007,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
59,RAINERA,2019,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
60,RAVISHING LOVE,2011,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
61,RUDD,2019,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
62,SCOOTALOO,2018,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
63,SHY SIMONA,2018,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
64,STARRY MISS,2009,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
65,TABA IS BACK,2007,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
66,TAN ALEGRE,2009,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
67,THUNDER BAMBA,2007,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
68,TINTA CHINA,2009,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
69,UNICA SANTA,2020,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes
